species,longitude,latitude
barbatus,-98.073468,18.893489
barbatus,-98.07625,17.31928
barbatus,-98.084564,19.463711
barbatus,-98.085072,19.466977
barbatus,-98.096,19.6208
barbatus,-98.096869,19.478883
barbatus,-98.113917,18.936194
barbatus,-98.123611,18.894722
barbatus,-98.123639,18.894667
barbatus,-98.132962,19.627157
barbatus,-98.136028,18.94075
barbatus,-98.13775,18.934083
barbatus,-98.137778,18.934167
barbatus,-98.161671,19.517753
barbatus,-98.226866,19.366681
barbatus,-98.228067,19.35202
barbatus,-98.251472,18.866339
barbatus,-98.267952,19.339395
barbatus,-98.284477,19.33007
barbatus,-98.303218,18.905268
barbatus,-98.307422,18.905048
barbatus,-98.310557,18.90707
barbatus,-98.310884,18.907208
barbatus,-98.311363,18.907165
barbatus,-98.331025,19.003817
barbatus,-98.331957,25.346534
barbatus,-98.332817,18.985681
barbatus,-98.336966,19.242744
barbatus,-98.338511,20.010825
barbatus,-98.339495,19.062666
barbatus,-98.343192,18.993972
barbatus,-98.345475,19.072944
barbatus,-98.345562,19.069267
barbatus,-98.345603,19.069217
barbatus,-98.346082,19.06902
barbatus,-98.347467,19.074169
barbatus,-98.347928,19.070836
barbatus,-98.349236,18.9591
barbatus,-98.3493,19.080038
barbatus,-98.34959,19.070813
barbatus,-98.350678,19.243175
barbatus,-98.351658,19.243825
barbatus,-98.351661,19.062978
barbatus,-98.359504,20.346547
barbatus,-98.360589,19.023925
barbatus,-98.36173,20.116633
barbatus,-98.367742,19.416467
barbatus,-98.367742,19.416467
barbatus,-98.441667,19.325
barbatus,-98.453615,19.541328
barbatus,-98.50684,19.362495
barbatus,-98.54667,19.78
barbatus,-98.58,19.77
barbatus,-98.591667,20.065278
barbatus,-98.593416,20.0634872
barbatus,-98.606708,19.858918
barbatus,-98.626061,19.536976
barbatus,-98.64,20.531667
barbatus,-98.6625,20.125
barbatus,-98.666667,20.133333
barbatus,-98.671667,20.135
barbatus,-98.683333,20.125
barbatus,-98.6874477,19.3320059
barbatus,-98.693056,19.561111
barbatus,-98.695833,20.1375
barbatus,-98.695833,20.137694
barbatus,-98.6981,20.13597
barbatus,-98.702507,20.135764
barbatus,-98.708056,20.133611
barbatus,-98.708056,20.133611
barbatus,-98.708056,20.133611
barbatus,-98.708333,20.133611
barbatus,-98.71666,20.23333
barbatus,-98.716667,20.133333
barbatus,-98.716667,20.2
barbatus,-98.71994,20.219687
barbatus,-98.724869,20.176178
barbatus,-98.729167,20.170833
barbatus,-98.729167,20.170833
barbatus,-98.731389,20.174444
barbatus,-98.731389,20.174444
barbatus,-98.731389,20.174444
barbatus,-98.733333,20.171111
barbatus,-98.733333,20.2
barbatus,-98.7345,20.1717
barbatus,-98.735526,20.217552
barbatus,-98.736111,20.172242
barbatus,-98.736156,20.220008
barbatus,-98.737361,20.194667
barbatus,-98.7375,20.183333
barbatus,-98.7375,20.183333
barbatus,-98.74,19.92
barbatus,-98.7575,20.183889
barbatus,-98.759798,19.536299
barbatus,-98.7598931,19.5369131
barbatus,-98.767397,19.459593
barbatus,-98.784286,19.4599
barbatus,-98.7923257,19.4783977
barbatus,-98.801987,19.486088
barbatus,-98.802292,19.509689
barbatus,-98.808333,19.491667
barbatus,-98.814462,19.495552
barbatus,-98.8175,19.496667
barbatus,-98.818333,19.523333
barbatus,-98.818355,19.496208
barbatus,-98.818558,20.202137
barbatus,-98.819827,19.493851
barbatus,-98.828936,19.29718
barbatus,-98.840141,19.748129
barbatus,-98.859873,20.632522
barbatus,-98.864722,19.456389
barbatus,-98.864722,19.456389
barbatus,-98.87045,19.588829
barbatus,-98.873534,19.625555
barbatus,-98.875,19.375
barbatus,-98.88,19.512222
barbatus,-98.888324,19.329141
