"species","longitude","latitude","geometry"
"flexuosus",-111.789545,34.822145,"POINT (-111.7895 34.82214)"
"flexuosus",-113.638589,37.227783,"POINT (-113.6386 37.22778)"
"flexuosus",-116.712745,37.039325,"POINT (-116.7127 37.03932)"
"flexuosus",-114.899933,37.23968,"POINT (-114.8999 37.23968)"
"flexuosus",-112.515496,37.017318,"POINT (-112.5155 37.01732)"
"flexuosus",-111.788002,34.874683,"POINT (-111.788 34.87468)"
"flexuosus",-108.162597,36.759803,"POINT (-108.1626 36.7598)"
"flexuosus",-112.0513,36.754262,"POINT (-112.0513 36.75426)"
"flexuosus",-113.229163,37.45532,"POINT (-113.2292 37.45532)"
"flexuosus",-116.740342,36.999806,"POINT (-116.7403 36.99981)"
"flexuosus",-112.0513,36.754262,"POINT (-112.0513 36.75426)"
"flexuosus",-108.620956,37.1533,"POINT (-108.621 37.1533)"
"flexuosus",-111.825767,34.842955,"POINT (-111.8258 34.84296)"
"flexuosus",-112.395551,35.025527,"POINT (-112.3956 35.02553)"
"flexuosus",-113.6399,37.085786,"POINT (-113.6399 37.08579)"
"flexuosus",-109.042236,36.864955,"POINT (-109.0422 36.86496)"
"flexuosus",-113.9092,37.0965,"POINT (-113.9092 37.0965)"
"flexuosus",-114.223192,36.455982,"POINT (-114.2232 36.45598)"
"flexuosus",-113.101844,37.27128,"POINT (-113.1018 37.27128)"
"flexuosus",-114.001336,37.017756,"POINT (-114.0013 37.01776)"
"flexuosus",-112.526514,37.058594,"POINT (-112.5265 37.05859)"
"flexuosus",-113.91296,37.08405,"POINT (-113.913 37.08405)"
"flexuosus",-112.517057,37.001233,"POINT (-112.5171 37.00123)"
"flexuosus",-109.042328,36.864813,"POINT (-109.0423 36.86481)"
"flexuosus",-109.042236,36.865017,"POINT (-109.0422 36.86502)"
"flexuosus",-109.042283,36.864938,"POINT (-109.0423 36.86494)"
"flexuosus",-111.773605,34.818275,"POINT (-111.7736 34.81827)"
"flexuosus",-112.984955,37.089646,"POINT (-112.985 37.08965)"
"flexuosus",-113.101836,37.271255,"POINT (-113.1018 37.27125)"
"flexuosus",-112.548728,37.030736,"POINT (-112.5487 37.03074)"
"flexuosus",-113.102158,37.270988,"POINT (-113.1022 37.27099)"
"flexuosus",-114.140664,36.52326,"POINT (-114.1407 36.52326)"
"flexuosus",-113.10218,37.270992,"POINT (-113.1022 37.27099)"
"flexuosus",-115.32472,33.62611,"POINT (-115.3247 33.62611)"
"flexuosus",-113.819114,37.01576,"POINT (-113.8191 37.01576)"
"flexuosus",-116.73365,36.893039,"POINT (-116.7336 36.89304)"
"flexuosus",-115.450867,36.164125,"POINT (-115.4509 36.16412)"
"flexuosus",-111.403013,34.220222,"POINT (-111.403 34.22022)"
"flexuosus",-114.134532,36.623194,"POINT (-114.1345 36.62319)"
"flexuosus",-111.402703,34.2202,"POINT (-111.4027 34.2202)"
"flexuosus",-111.388695,34.216817,"POINT (-111.3887 34.21682)"
