species,longitude,latitude
flexuosus,-116.33031,36.454814
flexuosus,-114.32373,34.348003
flexuosus,-115.13389,41.13944
flexuosus,-113.05,37.3
flexuosus,-114.35833,38.84139
flexuosus,-112.031249,36.055512
flexuosus,-115.16361,37.248996
flexuosus,-109.012111,36.978524
flexuosus,-117.037355,34.352215
flexuosus,-115.54083,36.24306
flexuosus,-114.56833,36.66528
flexuosus,-112.371181,36.898317
flexuosus,-113.408963,37.164005
flexuosus,-111.57778,36.86806
flexuosus,-110.850584,37.616216
flexuosus,-117.424913,34.32833
flexuosus,-116.98056,36.71722
flexuosus,-113.88333,37.05528
flexuosus,-113.28389,37.296832
flexuosus,-115.44444,36.29472
flexuosus,-113.294,36.1723
flexuosus,-113.590263,37.122575
flexuosus,-116.712753,37.039122
flexuosus,-108.742488,32.643112
flexuosus,-114.526056,36.471936
flexuosus,-114.52346,36.485859
flexuosus,-114.526149,36.471789
flexuosus,-115.344951,36.227887
flexuosus,-111.211792,33.669697
flexuosus,-115.689758,36.148597
flexuosus,-111.211792,33.669697
flexuosus,-113.799317,36.96077
flexuosus,-108.930055,32.669387
flexuosus,-111.868125,34.897257
flexuosus,-111.659525,34.91991
flexuosus,-111.984713,34.870637
flexuosus,-108.664256,32.73318
flexuosus,-113.00376,37.18284
flexuosus,-113.00506,37.18437
flexuosus,-113.0068,37.18546
flexuosus,-112.97512,37.21666
flexuosus,-114.525932,36.487059
flexuosus,-112.99988,37.19991
flexuosus,-111.854874,34.573913
flexuosus,-112.99951,37.19934
flexuosus,-114.148086,36.428692
flexuosus,-113.62786,37.08949
flexuosus,-113.3561,34.55982
flexuosus,-115.612652,38.05467
flexuosus,-113.153847,37.142039
flexuosus,-113.289239,37.328933
flexuosus,-113.311958,37.279125
flexuosus,-111.852014,37.119728
flexuosus,-113.625358,37.052364
flexuosus,-111.369683,34.036636
flexuosus,-113.572281,37.223836
flexuosus,-113.628472,37.053517
flexuosus,-113.590064,37.080339
flexuosus,-113.582053,37.197017
flexuosus,-110.695507,36.537874
flexuosus,-113.42779,37.287554
flexuosus,-115.422742,36.149866
flexuosus,-115.495567,36.158974
flexuosus,-112.458542,34.903664
flexuosus,-114.51221,36.43721
flexuosus,-114.15,36.53
flexuosus,-115.423931,36.153999
flexuosus,-113.399422,37.272383
flexuosus,-113.570629,37.399022
flexuosus,-115.47682,36.125868
flexuosus,-115.398001,36.049333
flexuosus,-112.429146,34.646398
flexuosus,-111.386575,36.903112
flexuosus,-113.264717,37.2713
flexuosus,-111.651227,35.936775
flexuosus,-114.51859,36.458385
flexuosus,-111.788484,34.905156
flexuosus,-115.374887,38.352242
flexuosus,-115.372947,38.353778
flexuosus,-112.84609,36.87925
flexuosus,-113.462818,36.698605
flexuosus,-115.353187,36.63626
flexuosus,-115.91999,36.33851
flexuosus,-115.483672,36.123567
flexuosus,-115.503953,36.178265
flexuosus,-111.510423,36.87916
flexuosus,-115.41,38.05
flexuosus,-114.203967,37.011533
flexuosus,-114.20285,36.488083
flexuosus,-115.972617,36.702298
flexuosus,-115.291601,36.84061
flexuosus,-115.288194,37.694694
flexuosus,-114.646389,38.131167
flexuosus,-114.257528,37.066611
flexuosus,-113.687051,37.350917
flexuosus,-114.607767,38.319701
flexuosus,-114.459233,37.993176
flexuosus,-114.46301,37.989185
flexuosus,-114.255746,37.701915
flexuosus,-116.878533,36.833642
flexuosus,-114.323772,38.471804
flexuosus,-116.949834,36.847608
flexuosus,-115.504173,36.016915
flexuosus,-114.154088,36.667087
flexuosus,-116.187641,37.229931
flexuosus,-114.149689,36.505585
flexuosus,-115.742816,36.426202
flexuosus,-115.405292,36.07178
flexuosus,-113.59711,37.106051
flexuosus,-115.545221,36.246022
flexuosus,-115.686003,36.415935
flexuosus,-113.2667,37.2
flexuosus,-116.958,36.9883
flexuosus,-114.572587,36.660637
flexuosus,-111.676333,36.802833
flexuosus,-114.3935,36.749
flexuosus,-114.493725,37.654631
flexuosus,-114.085,36.983
flexuosus,-114.555,36.973
flexuosus,-114.18433,36.54953
flexuosus,-114.42865,36.62766
flexuosus,-111.829485,34.608334
flexuosus,-111.66086,34.673418
flexuosus,-109.021398,37.500577
flexuosus,-108.952897,37.559927
flexuosus,-113.813607,38.609206
flexuosus,-113.819244,38.635277
flexuosus,-113.431458,34.489973
flexuosus,-113.00536,37.312467
flexuosus,-112.033116,37.001319
flexuosus,-112.033116,37.001319
flexuosus,-109.93408,37.163549
flexuosus,-114.523466,38.883746
flexuosus,-109.936022,37.164324
flexuosus,-113.845792,38.62088
flexuosus,-113.519928,37.696572
flexuosus,-115.477975,36.174228
flexuosus,-115.288333,37.694722
flexuosus,-115.468534,36.353528
flexuosus,-115.831485,35.718812
flexuosus,-114.228839,36.758343
flexuosus,-114.228847,36.758339
flexuosus,-114.522408,36.484258
flexuosus,-115.268182,37.52192
flexuosus,-114.525244,38.884064
flexuosus,-114.201235,36.571775
flexuosus,-112.984138,37.908394
flexuosus,-113.100814,37.61382
flexuosus,-115.455547,36.103357
flexuosus,-113.169542,37.151273
flexuosus,-113.80784,38.65924
flexuosus,-114.228695,36.758334
flexuosus,-109.830313,38.449708
flexuosus,-113.847175,38.6212
flexuosus,-115.527257,38.187929
flexuosus,-113.495133,37.712197
flexuosus,-114.648177,38.4629
flexuosus,-113.848079,38.620895
flexuosus,-111.90281,36.050799
flexuosus,-113.184988,37.758847
flexuosus,-114.998596,38.759657
flexuosus,-113.738145,37.280705
flexuosus,-111.92556,34.709656
flexuosus,-113.225678,37.457567
flexuosus,-113.819158,38.634962
flexuosus,-115.850471,35.63319
flexuosus,-113.061058,37.141842
flexuosus,-113.84452,38.61775
flexuosus,-113.059936,37.65982
flexuosus,-113.059478,37.660417
flexuosus,-113.060692,37.661113
flexuosus,-113.84506,38.61767
flexuosus,-115.612579,38.054599
flexuosus,-113.059897,37.659797
flexuosus,-113.060211,37.659897
flexuosus,-111.370042,34.036731
flexuosus,-113.189861,37.763098
flexuosus,-111.369912,34.036683
flexuosus,-111.369483,34.037006
flexuosus,-111.369888,34.036653
flexuosus,-113.813505,38.60928
flexuosus,-111.37017,34.03672
flexuosus,-113.848053,38.62087
flexuosus,-111.369562,34.03692
flexuosus,-111.369553,34.0369
flexuosus,-113.819113,38.634962
flexuosus,-111.37017,34.036639
flexuosus,-115.614403,38.05605
flexuosus,-111.369545,34.036922
flexuosus,-113.784444,38.687404
flexuosus,-111.370195,34.036653
flexuosus,-115.504329,36.179852
flexuosus,-115.746896,35.318443
flexuosus,-113.844437,38.617428
flexuosus,-114.237908,39.0578
flexuosus,-113.783913,38.687908
flexuosus,-115.612564,38.057398
flexuosus,-114.53328,36.48703
flexuosus,-115.612574,38.05477
flexuosus,-115.612302,38.055097
flexuosus,-113.332626,36.310931
flexuosus,-113.343743,36.278763
flexuosus,-112.264161,34.976883
flexuosus,-111.369912,34.036483
flexuosus,-114.068069,35.86707
flexuosus,-113.29587,36.604735
flexuosus,-114.068078,35.867053
flexuosus,-111.848717,34.910778
flexuosus,-111.799072,34.829869
flexuosus,-113.357841,36.729224
flexuosus,-115.536594,36.068464
flexuosus,-112.83871,36.87754
flexuosus,-111.914947,34.84943
flexuosus,-114.409767,37.819583
flexuosus,-115.444297,38.238862
flexuosus,-115.46823,36.103617
flexuosus,-115.925424,35.755201
flexuosus,-112.817098,36.872506
flexuosus,-113.534856,35.572094
flexuosus,-115.925541,35.704597
flexuosus,-115.465035,36.103456
flexuosus,-115.448574,36.116905
flexuosus,-115.520186,36.272679
flexuosus,-111.759438,34.799453
flexuosus,-112.023996,34.70258
flexuosus,-114.817692,37.011495
flexuosus,-115.41054,38.222459
flexuosus,-115.563504,36.079122
flexuosus,-115.421679,36.152571
flexuosus,-113.62079,36.986574
flexuosus,-115.853078,35.678056
flexuosus,-115.867057,35.630705
flexuosus,-111.911012,37.258038
flexuosus,-112.056878,36.895867
flexuosus,-109.635939,37.525365
flexuosus,-116.696147,37.067156
flexuosus,-113.221672,37.190345
flexuosus,-115.687347,36.414417
flexuosus,-115.953407,35.602665
flexuosus,-115.803417,35.707467
flexuosus,-112.092178,36.076497
flexuosus,-109.053591,37.383248
flexuosus,-115.980946,35.765379
flexuosus,-116.714152,37.039137
flexuosus,-115.484935,36.161082
flexuosus,-112.092164,36.076758
flexuosus,-115.44513,35.989605
flexuosus,-115.504163,36.173673
flexuosus,-108.168288,36.807995
flexuosus,-109.068937,37.37937
flexuosus,-111.720772,34.648072
flexuosus,-115.558475,36.058931
flexuosus,-115.85217,35.728548
flexuosus,-115.986489,35.685526
flexuosus,-114.01667,37.137033
flexuosus,-108.168267,36.808717
flexuosus,-115.86162,35.77697
flexuosus,-115.813549,35.704596
flexuosus,-112.088778,36.09006
flexuosus,-115.885405,35.70977
flexuosus,-112.429146,34.646398
flexuosus,-113.260375,37.158553
flexuosus,-113.622871,36.990039
flexuosus,-115.507095,36.165028
flexuosus,-113.148217,37.11765
flexuosus,-115.86356,35.771114
flexuosus,-111.893308,34.832095
flexuosus,-116.696033,37.067322
flexuosus,-115.823006,35.642188
flexuosus,-111.778723,34.876828
flexuosus,-113.464212,37.659297
flexuosus,-113.563217,37.300854
flexuosus,-115.423828,36.109811
flexuosus,-115.457731,36.153083
flexuosus,-112.976375,37.1995
flexuosus,-115.429628,36.136239
flexuosus,-111.930152,34.914157
flexuosus,-113.636128,34.924233
flexuosus,-111.712988,34.674582
flexuosus,-111.518073,36.823142
flexuosus,-115.793843,35.401517
flexuosus,-113.0315,37.829083
flexuosus,-110.49568,33.782378
flexuosus,-113.139714,37.14191
flexuosus,-111.723103,34.893172
flexuosus,-111.882338,37.118928
flexuosus,-115.455377,36.103373
flexuosus,-111.483087,36.9473
flexuosus,-112.091264,36.079136
flexuosus,-113.062585,37.168958
flexuosus,-111.843397,34.887861
flexuosus,-114.065928,36.814694
flexuosus,-115.452043,36.165438
flexuosus,-109.868003,37.195137
flexuosus,-114.06799,35.867052
flexuosus,-115.391883,36.200993
flexuosus,-109.076335,37.321797
flexuosus,-111.75833,34.795892
flexuosus,-111.92062,34.798517
flexuosus,-113.488546,37.117877
flexuosus,-113.64017,37.08716
flexuosus,-111.994419,34.845603
flexuosus,-108.505656,36.740231
flexuosus,-116.853495,36.90368
flexuosus,-108.907453,38.054997
flexuosus,-109.634292,37.524722
flexuosus,-116.897788,36.820595
flexuosus,-108.470585,36.81827
flexuosus,-112.468227,34.885551
flexuosus,-111.759195,34.50497
flexuosus,-113.57553,37.12435
flexuosus,-111.760497,34.885952
flexuosus,-111.899373,34.813872
flexuosus,-109.040159,36.860314
flexuosus,-115.479328,36.125015
flexuosus,-112.057364,34.321342
flexuosus,-108.117352,36.856256
flexuosus,-112.016493,34.765065
flexuosus,-115.809246,35.719907
flexuosus,-114.069639,36.678444
flexuosus,-111.845157,36.045537
flexuosus,-112.055208,34.719896
flexuosus,-115.496929,36.156593
flexuosus,-115.456675,36.103879
flexuosus,-115.451268,36.165524
flexuosus,-115.269624,37.377393
flexuosus,-111.424885,34.094412
flexuosus,-115.035415,36.712766
flexuosus,-113.661108,37.047595
flexuosus,-109.657237,37.262314
flexuosus,-112.529317,37.000687
flexuosus,-113.625412,37.069939
flexuosus,-110.08693,36.961308
flexuosus,-111.759187,34.504975
flexuosus,-111.759195,34.504987
flexuosus,-111.906225,34.739133
flexuosus,-115.613462,36.377173
flexuosus,-109.152561,37.265839
flexuosus,-113.5575,37.128441
flexuosus,-113.58228,37.12218
flexuosus,-112.088594,36.088803
flexuosus,-113.256355,37.19815
flexuosus,-113.618125,35.447675
