species,decimalLatitude,decimalLongitude
barbatus,20.861181,-99.591317
barbatus,23.60795,-104.702274
barbatus,19.356572,-99.068297
barbatus,19.318042,-99.192651
barbatus,20.809444,-100.536392
barbatus,19.54133,-99.288391
barbatus,20.806878,-100.532014
barbatus,20.821487,-100.548714
barbatus,21.930006,-101.888161
barbatus,21.934821,-101.813466
barbatus,21.866023,-101.843043
barbatus,21.496867,-101.392423
barbatus,32.299509,-116.543119
barbatus,19.858918,-98.606708
barbatus,19.621944,-99.313056
barbatus,23.937349,-104.877291
barbatus,28.55514,-107.492401
barbatus,27.530458,-107.611194
barbatus,19.97575,-100.097722
barbatus,19.97575,-100.097722
barbatus,21.318534,-101.634132
barbatus,19.507616,-99.305755
barbatus,19.470529,-99.269363
barbatus,22.050477,-101.009806
barbatus,22.2273,-102.111
barbatus,21.9174,-102.608
barbatus,19.3192,-99.2057
barbatus,28.546,-107.457
barbatus,23.3925,-104.252
barbatus,21.9001,-102.574
barbatus,19.7897,-103.484
barbatus,19.3174,-99.1825
barbatus,19.3441,-99.3473
barbatus,21.6411,-101.652
barbatus,30.6338,-108.893
barbatus,23.918,-104.953
barbatus,23.7152,-103.78
barbatus,19.2207,-99.2127
barbatus,19.6178,-101.133
barbatus,19.4372,-100.358
barbatus,21.723,-101.674
barbatus,29.1564,-106.362
barbatus,19.2525,-99.1007
barbatus,23.9084,-104.998
barbatus,23.9212,-104.946
barbatus,19.3013,-99.204
barbatus,25.3555,-105.763
barbatus,21.7681,-102.588
barbatus,21.6655,-102.295
barbatus,19.4475,-99.3176
barbatus,19.9,-102.366667
barbatus,17.1167,-96.3
barbatus,23.9923,-104.746
barbatus,20.1717,-98.7345
barbatus,19.9678,-99.4364
barbatus,19.233519,-99.117148
barbatus,19.87255,-99.793154
barbatus,17.211027,-96.732023
barbatus,25.261837,-105.630411
barbatus,20.219687,-98.71994
barbatus,16.252471,-96.532466
barbatus,28.594037,-105.887088
barbatus,28.594037,-105.887088
barbatus,20.176178,-98.724869
barbatus,17.544428,-97.322629
barbatus,19.329141,-98.888324
barbatus,19.568377,-99.158167
barbatus,17.116661,-96.698108
barbatus,21.106779,-100.193718
barbatus,17.4469,-96.493095
barbatus,20.994261,-101.252323
barbatus,20.994791,-101.251522
barbatus,23.770387,-104.385472
barbatus,25.083333,-105.533333
barbatus,23.866667,-104.766667
barbatus,19.262881,-99.182093
barbatus,21.35,-103.221944
barbatus,17.115833,-96.692555
barbatus,23.461778,-103.090167
barbatus,23.931933,-104.917183
barbatus,20.9175,-99.543055
barbatus,23.97735,-104.784433
barbatus,21.723333,-101.663333
barbatus,22.361667,-103.621667
barbatus,21.551717,-101.67725
barbatus,17.707222,-97.387222
barbatus,17.114861,-96.710417
barbatus,17.641111,-97.648333
barbatus,16.251611,-96.534694
barbatus,22.170889,-102.521417
barbatus,20.137694,-98.695833
barbatus,18.894667,-98.123639
barbatus,21.118056,-99.648055
barbatus,21.371944,-99.821389
barbatus,22.099806,-100.693417
barbatus,18.936194,-98.113917
barbatus,28.791667,-105.158333
barbatus,20.915,-100.200278
barbatus,20.194667,-98.737361
barbatus,20.915,-100.200278
barbatus,18.94075,-98.136028
barbatus,21.3125,-100.236389
barbatus,16.491453,-96.984114
barbatus,18.934083,-98.13775
barbatus,17.807139,-97.343306
barbatus,17.066389,-96.722222
barbatus,16.71975,-97.025472
barbatus,18.977778,-98.020833
barbatus,17.705556,-99.823056
barbatus,17.696389,-99.870278
barbatus,17.7275,-99.894167
barbatus,17.7275,-99.894167
barbatus,23.4,-104.177778
barbatus,20.170833,-98.729167
barbatus,20.133333,-98.716667
barbatus,20.065278,-98.591667
barbatus,20.183333,-98.7375
barbatus,20.170833,-98.729167
barbatus,20.183333,-98.7375
barbatus,20.125,-98.6625
barbatus,20.125,-98.683333
barbatus,23.967985,-104.8178751
barbatus,17.226111,-97.717917
barbatus,17.695917,-97.403033
barbatus,19.232092,-99.228858
barbatus,19.210322,-99.468669
barbatus,20.381698,-103.5610801
barbatus,16.208919,-96.335963
barbatus,28.282783,-106.771883
barbatus,19.422862,-99.2133995
barbatus,25.134106,-103.231158
barbatus,19.483783,-100.444754
barbatus,19.9,-102.366667
barbatus,19.6894915,-101.0863175
barbatus,20.083333,-99.029167
barbatus,25.3313541,-103.2650287
barbatus,21.846111,-102.718331
barbatus,20.802864,-103.591211
barbatus,28.863785,-106.345507
barbatus,20.623461,-99.312219
barbatus,28.7422426,-105.111874
barbatus,20.310822,-99.728458
barbatus,28.863785,-106.345507
barbatus,19.288889,-99.251389
barbatus,22.166667,-101.15
barbatus,18.623497,-97.404983
barbatus,28.65,-105.3
barbatus,24.003978,-104.841156
barbatus,16.251325,-96.551547
barbatus,19.3089543,-99.2251054
barbatus,19.3151841,-99.1927736
barbatus,23.866667,-104.766667
barbatus,23.9282975,-104.8553378
barbatus,19.422862,-99.2133995
barbatus,17.426839,-96.105308
barbatus,20.172242,-98.736111
barbatus,19.3425,-99.221389
barbatus,19.778889,-99.314167
barbatus,19.4545093,-98.9673298
barbatus,19.3894892,-99.3276401
barbatus,19.641667,-99.336389
barbatus,20.174444,-98.731389
barbatus,19.5369131,-98.7598931
barbatus,19.496667,-98.8175
barbatus,19.6961639,-99.3056716
barbatus,19.4181207,-99.3801174
barbatus,19.3072804,-99.1985327
barbatus,19.656667,-99.378611
barbatus,20.174444,-98.731389
barbatus,19.4783977,-98.7923257
barbatus,20.174444,-98.731389
barbatus,20.0634872,-98.593416
barbatus,19.754167,-99.244722
barbatus,19.770556,-99.261944
barbatus,19.3425,-99.221389
barbatus,19.641667,-99.336389
barbatus,19.656667,-99.378611
barbatus,19.770556,-99.261944
barbatus,19.9875,-99.174722
barbatus,19.770556,-99.261944
barbatus,19.306667,-99.195
barbatus,19.754167,-99.244722
barbatus,24.241667,-106.433333
barbatus,23.4225,-105.802222
barbatus,23.443056,-105.851389
barbatus,17.642806,-97.120306
barbatus,18.054361,-97.003444
barbatus,23.425,-104.141667
barbatus,23.408333,-104.175
barbatus,16.468333,-97.003333
barbatus,19.693333,-101.151111
barbatus,20.133611,-98.708056
barbatus,16.226667,-96.535
barbatus,19.693333,-101.151111
barbatus,16.468333,-97.003333
barbatus,19.733333,-99.333333
barbatus,20.133611,-98.708056
barbatus,19.561111,-98.693056
barbatus,19.641667,-101.147778
barbatus,19.693333,-101.151111
barbatus,19.324469,-99.18014
barbatus,16.468333,-97.003333
barbatus,21.1130363,-100.4654192
barbatus,21.1581388,-99.6957601
barbatus,21.4264212,-99.2483754
barbatus,20.918083,-99.5834205
barbatus,21.3208873,-101.5536217
barbatus,23.399791,-104.182674
barbatus,18.556389,-99.661111
barbatus,17.705556,-99.823056
barbatus,18.564167,-99.504444
barbatus,17.696778,-99.937694
barbatus,17.696389,-99.870278
barbatus,17.665,-99.811944
barbatus,17.7275,-99.894167
barbatus,17.724222,-99.898583
barbatus,17.7275,-99.894167
barbatus,20.9023158,-100.1690954
barbatus,27.314722,-107.512778
barbatus,23.801111,-104.7625
barbatus,23.631667,-103.641667
barbatus,21.118333,-101.68
barbatus,19.895,-101.428333
barbatus,17.55,-97.425
barbatus,19.367222,-99.155
barbatus,21.178333,-99.833333
barbatus,19.991667,-102.718333
barbatus,20.097894,-98.998062
barbatus,19.651667,-101.151667
barbatus,20.162222,-99.1
barbatus,21.405,-99.247778
barbatus,22.085981,-101.161136
barbatus,23.964513,-104.798452
barbatus,18.226667,-97.578333
barbatus,20.135,-98.671667
barbatus,20.285,-101.093333
barbatus,19.895,-101.428333
barbatus,17.268333,-97.68
barbatus,16.445,-96.9
barbatus,21.305,-100.278333
barbatus,21.211667,-100.215
barbatus,23.436667,-104.133333
barbatus,24.811667,-104.32
barbatus,21.940556,-101.929167
barbatus,21.196667,-100.308333
barbatus,19.901667,-101.655
barbatus,19.529444,-101.6
